,lane,tile,cycle,errorrate,nPerfect,n1Error,n2Error,n3Error,n4Error
508,1,2212,8,0.078138568,11416,103,0,0,0
509,1,2213,8,0.097113095,11209,118,0,0,0
510,1,2214,8,0.034928396,11326,128,0,0,0
511,1,2215,8,0.070126228,11285,123,0,0,0
512,1,2216,8,0.025560195,11644,93,0,0,0
513,1,1101,9,0.028571429,10415,85,0,0,0
514,1,1102,9,0.087446563,10199,93,0,0,0
515,1,1103,9,0.077421851,10229,104,0,0,0
516,1,1104,9,0.083798885,10642,98,0,0,0
517,1,1105,9,0.112771355,10539,102,0,0,0
518,1,1106,9,0.083580978,10667,101,0,0,0
519,1,1107,9,0.018761726,10577,83,0,0,0
520,1,1108,9,0.072886296,10867,110,0,0,0
521,1,1109,9,0.074252829,10687,87,0,0,0
522,1,1110,9,0.073834792,10734,101,0,0,0
523,1,1111,9,0.081088386,11009,90,0,0,0
524,1,1112,9,0.055468243,10699,118,0,0,0
525,1,1113,9,0.046759561,10587,106,0,0,0
